Country,M L.E. In Y,F L.E. In Y
Sint Maarten (Dutch part),69.2,77.1
Slovak Republic,73.3,80.3
Slovenia,77.3,83.9
Solomon Islands,66.5,69.4
Somalia,53.8,57
South Africa,55.2,59.3
South Sudan,54.7,56.7
Spain,80.2,86.1
Sri Lanka,71.5,78.2
St. Kitts and Nevis,..,..
St. Lucia,72.4,77.8
St. Martin (French part),76.2,82.6
St. Vincent and the Grenadines,70.9,75.1
Sudan,62,65
Suriname,68,74.4
Swaziland,49.6,48.2
Sweden,80.2,83.8
Switzerland,80.8,85
Syrian Arab Republic,64,76.5
Tajikistan,66.2,73.2
Tanzania,63.5,66.4
Thailand,71.1,77.9
Timor-Leste,66.5,70.1
Togo,58.9,60.4
Tonga,69.9,75.8
Trinidad and Tobago,67,74
Tunisia,71.9,76.5
Turkey,72,78.5
Turkmenistan,61.5,69.9
Turks and Caicos Islands,..,..
Tuvalu,..,..
Uganda,56.7,60.3
Ukraine,66.3,76.4
United Arab Emirates,76.3,78.5
United Kingdom,79.3,82.9
United States,76.6,81.4
Uruguay,73.5,80.6
Uzbekistan,65,71.8
Vanuatu,69.9,74
"Venezuela, RB",70.2,78.5
Vietnam,71,80.5
Virgin Islands (U.S.),76.7,83
West Bank and Gaza,71,74.9
"Yemen, Rep.",62.5,65.2
Zambia,58.2,62
Zimbabwe,56.2,58.9
World,69.4,73.6
East Asia & Pacific,72.9,77
Europe & Central Asia,73.6,80.4
Latin America & Caribbean,71.8,78.3
Middle East & North Africa,71.1,74.8
North America,76.9,81.7
South Asia,66.8,69.6
Sub-Saharan Africa,57.3,59.9
